datum;dagsrapport
2026-03-18;Språk- och litteraturcentrum från Lunds universitet hade möte i Hornsbergssalen med 30 deltagare. Olle och Kristina hade två omgångar skapande skola, först ut med Vallkäraskolan, 19 elever och 2 lärare, sedan var det Vegalyckan med 27 elever och 5 lärare. Nina höll i onsdagsvisningen som idag visade utställningen "Att överleva", 3 antal. Kurs i svartsmide under kvällen, 6 personer.
2026-03-17;Körkortsuppdatering med Yvonne och Mattias i verkstaden.  SO-lärare från Järnåkraskolan besökte "Att överleva" tillsammans med Annika, de var 4 personer. Måltidsgillet gick på visning med Johanna i Häcken full! Under kvällen var det smideskurs i smedjan, 6 personer.
2026-03-15;Marianne höll andra delen av sin vävnadskurs. På förmiddagen hade Jessica visning av Thomanderska för 5 vuxna och 2 barn. På eftermiddagen höll Emma en visning av En annan värld för två personer. Idag var det även två barnkalas på området. En flicka som fyllde 10 år firade med skattjaktskalas i verkstan. I arkitekternas hölls det ett två-årskalas för 8 vuxna och 4 barn. På eftermiddag hölls svartsmide i verkstan.
2026-03-14;Många besökare, särskilt barnfamiljer, kom redan vid öppning av museet. Det kom dock ingen på Emmas visning av Friluftsmuseet, till Jessicas visning av Dekanhuset kom det 3 personer. På eftermiddagen hade Anna Rynefors familjeföreställningen "Varulven" i auditoriet. Mycket uppskattat! Marianne höll första dagen av del 2 i flamskvävning. Det var även pyssel i verkstaden, 24 barn och 25 vuxna. 
2026-03-13;Stor grupp från Sallerupskolan i Eslöv gick runt med KKL, de var 60 personer. Övrigt en lugn dag..
2026-03-12;Yvonne och Annika hade skapande skola med 24 elever samt 2 lärare. En klass från Katedralskolan besökte 2 tjugotal på egen hand, de var 31 elever och 1 lärare. Ola hade en visning av friluftsmuseet för 24 elever och 3 lärare från Sjölins gymnasium. Genom region Skåne kom en KKL som gick runt med en grupp på 10 personer. I auditoriet hade Nordenstedtska seminariet en föreläsning om slaget vid Lützen där ca: 100 personer satt i publiken. Emma hade visningen: Människorna i husen, 2 personer kom. Smideskurs i smedjan, 6 personer. 
2026-03-11;Idag kom Östratornskolan klockan 9 och gjorde Skapande skola med 23 elever tillsammans med Emma och Kristina. Vid 10.30 kom nästa omgång för skapande skola från Kulparkskolan med 25 elever och 3 vuxna. Klockan 12 kom Spyken hit med en körkortslärare för att titta på Modernismen, de var 25 elever. 14.00 höll Karin H onsdagsvisningen "Kvinnorna i 2 tjugotal", det kom 30 besökare. Sedan var det föredrag  i auditoriet med Peter, "Vaktmästaren och sierskan - två karismatiska Lundabor i det tidiga 1800-talet" kl 14.30, det kom 100 åhörare. På kvällen var det svartsmide i Hylla Smedja.
2026-03-10;Strålande vårdag idag. Östratornskolan kom på morgonen för att få visning med Emma av Häcken Full, det var 24 personer. Studentkårens Förskola kom 20 pers för att leka på lekplatsen och Norlandia kom 12 personer för att besöka Madicken. Emma hade en andra visning av Häcken Full med klass på 27 personer från Vegalyckan. Från Polhemskolan kom 9 personer, de gick runt på egen hand. Från institutionen för arkeologi och antikens historia på Lunds universitet kom grupp på 17 personer som besökte "Metropolis". Smideskurs i smedjan under kvällen, 6 personer.
2026-03-08;Helgkursen i smide fortsätter med två tillfällen idag för respektive 6 deltagare. Två visningar, en med Jessika med Metropolis för 2 pers och en med Ola för 6 pers som visade 2 Tjugotal. Föreningen RTP (Personskadeförbundet) hade bokat Hornsbergssalen för möte med 30 pers samt lunch och fika i restaurangen. Skattjaktskalas med Sara för 8 barn och 4 vuxna. 6 nya medlemmar idag. 
2026-03-07;Full rulle idag med mycket folk. Smideskurs i smedjan för 6 pers på morgonen sen visning av arbetarbostaden med Ola för 2 deltagare.  Ytterligare en smideskurs, helgkurs i smedjan efter lunch. Drop-in pyssel i Verkstan med Siri med 34 barn och 27 vuxna. Vårkonsert kl 14 med Sångbolaget med tema Theodorakis, det kom 93 pers som efteråt visade mycket uppskattning. Sen höll Jessika i en Fika-visning varav 11 personer deltog. En privatperson, Anette, hade bokat Mystik på museet med 18 vuxna samt 4 barn för att fira sin 60 års-dag. 7 nya medlemmar idag.
