år;månad;kommun;skolnivå;skolkategori;antal
2019;Okt;Lund;Förskoleklass;skola-barn;31
2019;Okt;Lund;Gymnasium;skola-barn;270
2019;Okt;Malmö;Gymnasium;skola-barn;17
2019;Okt;Sjöbo;Gymnasium;skola-barn;14
2019;Okt;Svalöv;Gymnasium;skola-barn;7
2019;Okt;Lund;Årskurs 1;skola-barn;163
2019;Okt;Kävlinge;Årskurs 2;skola-barn;20
2019;Okt;Lund;Årskurs 2;skola-barn;17
2019;Okt;Lomma;Årskurs 3;skola-barn;40
2019;Okt;Lund;Årskurs 3;skola-barn;15
2019;Okt;Staffanstorp;Årskurs 3;skola-barn;11
2019;Okt;Eslöv;Årskurs 4;skola-barn;10
2019;Okt;Lomma;Årskurs 4;skola-barn;1
2019;Okt;Malmö;Årskurs 4;skola-barn;19
2019;Okt;Kävlinge;Årskurs 5;skola-barn;28
2019;Okt;Lund;Årskurs 5;skola-barn;11
2019;Okt;Lomma;Årskurs 7;skola-barn;185
2019;Okt;Lund;Årskurs 7;skola-barn;97
2019;Okt;Lund;Årskurs 9;skola-barn;117
2019;Okt;Malmö;Årskurs 9;skola-barn;20
2019;Okt;Lund;Högskola;skola-vuxen;
2019;Okt;Övrigt;Högskola;skola-vuxen;
2019;Okt;Kristianstad;Vuxenutbildning;skola-vuxen;10
2019;Okt;Lund;Vuxenutbildning;skola-vuxen;246
2019;Okt;Malmö;Vuxenutbildning;skola-vuxen;9
