år;månad;besöksmål;typ;kategori;antal
2015;mar;kulturenilund;verksamhet;rabatt;90
2015;mar;kulturenilund;verksamhet;student;221
2015;mar;kulturenilund;anläggning;total;10754
2015;mar;kulturensostarp;kombinerat;total;910
2015;mar;livetsmuseum;kombinerat;total;853
2015;mar;hokeriet;kombinerat;total;579
2015;mar;tegnermuseet;kombinerat;total;4
2015;mar;bosjokloster;kombinerat;total;20
2015;apr;kulturenilund;verksamhet;vuxen;1628
2015;apr;kulturenilund;verksamhet;barn;1994
2015;apr;kulturenilund;verksamhet;fri-vuxen;164
2015;apr;kulturenilund;verksamhet;konferens;518
2015;apr;kulturenilund;verksamhet;medlem;408
2015;apr;kulturenilund;verksamhet;pensionär;408
2015;apr;kulturenilund;verksamhet;rabatt;157
2015;apr;kulturenilund;verksamhet;student;224
2015;apr;kulturenilund;anläggning;total;18261
2015;apr;kulturensostarp;kombinerat;total;1992
2015;apr;livetsmuseum;kombinerat;total;682
2015;apr;hokeriet;kombinerat;total;430
2015;apr;tegnermuseet;kombinerat;total;15
2015;apr;bosjokloster;kombinerat;total;20
2015;maj;kulturenilund;verksamhet;vuxen;1883
2015;maj;kulturenilund;verksamhet;barn;1878
2015;maj;kulturenilund;verksamhet;fri-vuxen;641
2015;maj;kulturenilund;verksamhet;konferens;1430
2015;maj;kulturenilund;verksamhet;medlem;501
